no.,Shipment Invoice No.,HVDC CODE,HVDC CODE 1,HVDC CODE 2,HVDC CODE 3,HVDC CODE 4,HVDC CODE 5,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,stack status,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL Warehouse,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location_Temp,Status_Location,Status_Location_DSV Indoor_DSV Al Markaz,Status_Location_DSV Al Markaz,Status_Location_DSV Indoor,Status_Location_Date,Status_Location_Date_Year,Status_Location_Date_Month,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,stack status2,Status_Location_YearMonth,Vendor,Source_File,AAA Storage,No.,Local,SERIAL NO.,PO. No,Bill of Lading,DSV MZD,JDN MZD,Stack_Status,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
6646.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366751,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6647.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366752,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6648.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366753,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6649.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366754,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6650.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366755,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6651.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366756,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6652.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366757,1,Outdoor,DC HALL INSULATOR 308B,324.0,102.0,83.5,2.759508,678.0,944.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,3.3048,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6653.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366758,1,Outdoor,DC HALL INSULATOR 308B--Corona ring,374.0,119.5,97.5,4.357568,126.0,228.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,4.4693,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6654.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366759,1,Outdoor,DC HALL INSULATOR 308B--Corona ring,284.0,101.5,80.5,2.320493,84.0,186.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,2.8826,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
6655.0,PRL-ZAK-030-O,HVDC-ADOPT-HE-0470,HVDC,ADOPT,HE,470,,AGI,EQ-353,366760,1,Outdoor,DC HALL INSULATOR 308B--Corona ring,284.0,101.5,80.5,2.320493,84.0,186.0,Stackable 2 tier,2.0,8546 2000,EUR,4320.54,MSC Marie Leslie,CHINA,Shanghai,Khalifa port,1970-01-01,2025-09-08,,,,,,,,,,,,,,,Pre Arrival,Pre Arrival,Pre Arrival,,,,,,,Pre Arrival,0,0,0,0,0,2.8826,2.0,,HITACHI,HITACHI(HE),,,,,,,,,,0,0,0,0,Pre Arrival,Pre Arrival,
