no.,Shipment Invoice No.,HVDC CODE,HVDC CODE 1,HVDC CODE 2,HVDC CODE 3,HVDC CODE 4,HVDC CODE 5,Site,EQ No,Case No.,Pkg,Storage,Description,L(CM),W(CM),H(CM),CBM,N.W(kgs),G.W(kgs),Stack,stack status,HS Code,Currency,Price,Vessel,COE,POL,POD,ETD/ATD,ETA/ATA,DHL Warehouse,DSV Indoor,DSV Al Markaz,DSV Outdoor,Hauler Indoor,DSV MZP,MOSB,Shifting,MIR,SHU,DAS,AGI,Status_WAREHOUSE,Status_SITE,Status_Current,Status_Location_Temp,Status_Location,Status_Location_DSV Indoor_DSV Al Markaz,Status_Location_DSV Al Markaz,Status_Location_DSV Indoor,Status_Location_Date,Status_Location_Date_Year,Status_Location_Date_Month,Status_Storage,wh_handling_legacy,site handling,total handling,minus,final handling,SQM,stack status2,Status_Location_YearMonth,Vendor,Source_File,AAA Storage,No.,Local,SERIAL NO.,PO. No,Bill of Lading,DSV MZD,JDN MZD,Stack_Status,site_handling_original,total_handling_original,wh_handling_original,FLOW_CODE,FLOW_DESCRIPTION,Final_Location,입고일자
4915.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366163,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4916.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366164,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4917.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366165,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4918.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366166,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4919.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366167,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4920.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366168,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4921.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366169,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4922.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366170,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4923.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366171,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
4924.0,PRL-CS-034-O2,HVDC-ADOPT-HE-0340,HVDC,ADOPT,HE,340,,AGI,EQ-224,366172,1,Indoor,3 Modules of 8V1200Ah ( 12 cells),101.5,80.0,83.5,0.67802,1006.1,1048.2,Not stackable,1.0,85044090,SEK,4121,MSC SABRINA,India,Visakhapatnam,Khalifa port,2025-04-07,2025-05-02,,,,,2025-05-15,,,,,,,,1.0,,warehouse,Hauler Indoor,Hauler Indoor,,,,2025-05-15,2025.0,5.0,warehouse,1,0,1,-1,0,0.812,1.0,2025-05-01,HITACHI,HITACHI(HE),,,,,,,,,,0,1,1,2,Port → WH → Site,Hauler Indoor,
